English,Telugu,MIX CODE (TENGLISH),TRANSLITERATION
We went to a restaurant.,మేము ఒక రెస్టారెంట్‌కు వెళ్ళాము.          ,మేము ఒక restaurant కి వెళ్ళాము.,Memu oka restaurant ki vellamu.
Tom has no intention of going there by himself.,టామ్ స్వయంగా అక్కడికి వెళ్ళే ఉద్దేశం లేదు.          ,Tom కి అక్కడికి single గా వెళ్ళే intention లేదు.,Tom ki akkada single ga velle intention ledu.
I know where you went last weekend.,గత వారాంతంలో మీరు ఎక్కడికి వెళ్ళారో నాకు తెలుసు.          ,గత weekend నువ్వు ఎక్కడికి వెళ్ళావో నాకు తెలుసు.,Gata weekend nuvvu ekkadiki vellavo naaku telusu.
You must work together.,మీరు కలిసి పనిచేయాలి.          ,మీరు కలసి work చేయాలి.,Meeru kalisi work cheyali.
Tom almost died of embarrassment.,టామ్ దాదాపు ఇబ్బందితో మరణించాడు.          ,Tom almost embarrassment వల్ల చచ్చిపోయాడు.,Tom almost embarrassment valla chachipoyadu.
I've never stolen anything.,నేను ఎప్పుడూ ఏమీ దొంగిలించలేదు.          ,నేను ఎప్పుడూ ఏమీ steal చేయలేదు.,Nenu eppudu emi steal cheyaledu.
We decided to stay.,మేము ఉండాలని నిర్ణయించుకున్నాము.          ,మేము stay అవ్వాలని decide చేశాము.,Memu stay avvalani decide chesamu.
Tom is now short of money.,టామ్ ఇప్పుడు డబ్బు కొరత.          ,Tom ఇప్పుడు money shortage లో ఉన్నాడు.,Tom ippudu money shortage lo unnadu.
We're not coming.,మేము రావడం లేదు.          ,మేము రాము.,Memu raamu.
I've already told you what I think.,నేను ఏమనుకుంటున్నానో ఇప్పటికే మీకు చెప్పాను.          ,నేను already నా opinion చెప్పాను.,Nenu already naa opinion cheppanu.
Is there a hospital near here?,ఇక్కడ సమీపంలో ఆసుపత్రి ఉందా?          ,ఇక్కడ hospital ఉందా?,Ikkada hospital unda?
Tom said that he was tired of waiting.,టామ్ అతను వేచి అలసిపోయాడని చెప్పాడు.          ,Tom అన్నాడు wait చేసి tired అయ్యానని.,Tom annadu wait chesi tired ayanani.
Maybe you'll succeed.,బహుశా మీరు విజయం సాధిస్తారు.          ,బహుశా నువ్వు succeed అవుతావు.,Bahusha nuvvu succeed avuthavu.
Why don't you give Tom a call?,మీరు టామ్‌కు ఎందుకు కాల్ ఇవ్వరు?          ,ఎందుకు Tom కి call ఇవ్వవు?,Enduku Tom ki call ivvavu?
She smiled at the sight of her mother.,ఆమె తల్లిని చూసి నవ్వింది.          ,ఆమె తన తల్లిని చూసి smile చేసింది.,Ame tana tallini chusi smile chesindi.
He made no response.,అతను ఎటువంటి స్పందన ఇవ్వలేదు.          ,అతను ఏ response ఇవ్వలేదు.,Atanu ae response ivvaledu.
He comes from Wales.,అతను వేల్స్ నుండి వచ్చాడు.          ,అతను Wales నుండి వచ్చాడు.,Atanu Wales nundi vachadu.
I want you to tell me how to do this.,దీన్ని ఎలా చేయాలో మీరు నాకు చెప్పాలని నేను కోరుకుంటున్నాను.          ,దీన్ని ఎలా చేయాలో నాకు tell చేయమని నేను కోరుకుంటున్నాను.,Deeni ela cheyalo naaku tell cheyyamani nenu korukuntunnanu.
Tom showed me how to make spaghetti.,స్పఘెట్టిని ఎలా తయారు చేయాలో టామ్ నాకు చూపించాడు.          ,Spaghetti ఎలా తయారు చేయాలో Tom చూపించాడు.,Spaghetti ela tayaru cheyalo Tom chupinchadu.
Tom believes that Mary can win.,మేరీ గెలవగలడని టామ్ అభిప్రాయపడ్డాడు.          ,Mary win అవుతుందని Tom నమ్ముతున్నాడు.,Mary win avutundani Tom nammutunnadu.
She is knitting a scarf.,ఆమె కండువా అల్లడం.          ,ఆమె scarf knit చేస్తోంది.,Ame scarf knit chestondi.
I don't deserve to be punished.,నేను శిక్షించబడే అర్హత లేదు.          ,నేను punish అవ్వడానికి deserve చేయను.,Nenu punish avvadani ki deserve cheyanu.
Tom likes swimming.,టామ్‌కు ఈత అంటే ఇష్టం.          ,Tom కి swimming అంటే ఇష్టం.,Tom ki swimming ante ishtam.
She studies French  but I study Flemish.,ఆమె ఫ్రెంచ్ చదువుతుంది  కాని నేను ఫ్లెమిష్ చదువుతాను.        ,ఆమె French చదువుతోంది కానీ నేను Flemish చదువుతున్నాను.,Ame French chadutondi kani nenu Flemish chadutunnanu.
Someone is watching Tom.,టామ్‌ను ఎవరో చూస్తున్నారు.          ,ఎవరో Tom ని watch చేస్తున్నారు.,Evaro Tom ni watch chestunnaru.
Can you tell us about yourself?,మీ గురించి మాకు చెప్పగలరా?          ,మీ గురించి మాకు చెప్పగలరా?,Mee gurinchi maaku cheppagalara?
My impression of the United States is very good.,యునైటెడ్ స్టేట్స్ గురించి నా అభిప్రాయం చాలా బాగుంది.          ,United States గురించి నా impression చాలా good.,United States gurinchi naa impression chala good.
It is a good camera.,ఇది మంచి కెమెరా.          ,ఇది good camera.,Idi good camera.
This is my coach.,ఇది నా కోచ్.          ,ఇది నా coach.,Idi naa coach.
You will always be there.,మీరు ఎల్లప్పుడూ ఉంటారు.          ,మీరు ఎల్లప్పుడూ అక్కడ ఉంటారు.,Meeru ellappudu akkadey untaru.
She's a night owl.,ఆమె రాత్రి గుడ్లగూబ.          ,ఆమె ఒక night owl.,Ame oka night owl.
Tom realized that you needed to do that.,మీరు అలా చేయాల్సిన అవసరం ఉందని టామ్ గ్రహించాడు.          ,మీరు అది చేయాలి అని Tom realize చేశాడు.,Meeru adi cheyali ani Tom realize chesadu.
Put on the hat.,టోపీ మీద ఉంచండి.          ,Topi వేసుకో.,Topi vesuko.
I don't know what more I can do for you.,నేను మీ కోసం ఇంకా ఏమి చేయగలను అని నాకు తెలియదు.          ,నేను నీ కోసం ఇంకా ఏమి చేయగలనో తెలియదు.,Nenu mee kosam inka emi cheyagalano teliyadu.
I want a boyfriend.,నాకు బాయ్‌ఫ్రెండ్ కావాలి.          ,నాకు boyfriend కావాలి.,Naaku boyfriend kavali.
Tom said that Mary looked happy.,టామ్ మాట్లాడుతూ మేరీ సంతోషంగా ఉంది.          ,Tom అన్నాడు Mary happy గా ఉందని.,Tom annadu Mary happy ga undani.
What do you have against those people?,ఆ ప్రజలకు వ్యతిరేకంగా మీకు ఏమి ఉంది?          ,ఆ people కి వ్యతిరేకంగా నీకు ఏముంది?,Aa people ki vyathirekamga meeku emi undi?
We have a lot of snow at this time of the year.,సంవత్సరంలో ఈ సమయంలో మాకు చాలా మంచు ఉంది.          ,ఈ సమయంలో మాకు చాలా snow ఉంది.,Ee samayam lo maaku chala snow undi.
I'm sure you can do it.,మీరు దీన్ని చేయగలరని నేను ఖచ్చితంగా అనుకుంటున్నాను.          ,నువ్వు definitely అది చేయగలవు.,Nuvvu definitely adi cheyagalavu.
Do you think I need to go?,నేను వెళ్లాలని మీరు అనుకుంటున్నారా?          ,నేను వెళ్లాలని నువ్వు అనుకుంటున్నావా?,Nenu vellalani nuvvu anukuntunnava?
You're very rude.,మీరు చాలా మొరటుగా ఉన్నారు.          ,నువ్వు చాలా rude గా ఉన్నావు.,Nuvvu chala rude ga unnava.
I am tired of reading.,నేను చదవడానికి అలసిపోయాను.          ,నేను reading చేసి tired అయ్యాను.,Nenu reading chesi tired ayanu.
I know it's not difficult.,ఇది కష్టం కాదని నాకు తెలుసు.          ,ఇది difficult కాదని నాకు తెలుసు.,Idi difficult kadu ani naaku telusu.
It's worth ten times my yearly salary.,ఇది నా వార్షిక జీతం కంటే పది రెట్లు విలువైనది.          ,ఇది నా yearly salary కన్నా 10 times valuable.,Idi naa yearly salary kanna 10 times valuable.
I'll never forgive Tom.,నేను టామ్‌ను ఎప్పటికీ క్షమించను.          ,నేను Tom ని ఎప్పటికీ forgive చేయను.,Nenu Tom ni eppatiki forgive cheyanu.
Man cannot live forever.,మనిషి శాశ్వతంగా జీవించలేడు.          ,Man forever live చేయలేడు.,Man forever live cheyaleru.
He couldn't tell green from blue.,అతను నీలం నుండి ఆకుపచ్చ చెప్పలేడు.          ,అతను blue మరియు green తేడా చెప్పలేడు.,Atanu blue mariyu green teda cheppaleru.
Who told you this?,ఈ విషయం మీకు ఎవరు చెప్పారు?          ,ఈ విషయం నీకు ఎవరు చెప్పారు?,Ee vishayam neeku evaru chepparu?
It was a good idea.,ఇది మంచి ఆలోచన.          ,ఇది good idea.,Idi good idea.
Tom says I'm a prude.,నేను ప్రూడ్ అని టామ్ చెప్పారు.          ,నేను prude అని Tom అన్నాడు.,Nenu prude ani Tom annadu.
I used to help Tom with his homework.,నేను టామ్‌ను అతని ఇంటి పనికి సహాయం చేసేవాడిని.          ,నేను Tom కి అతని homework లో help చేసేవాడిని.,Nenu Tom ki atani homework lo help chesenu.
I'll try to convince Tom to do that.,నేను టామ్‌ను ఒప్పించటానికి ప్రయత్నిస్తాను.          ,నేను Tom ని convince చేయడానికి try చేస్తాను.,Nenu Tom ni convince cheyadaniki try chestanu.
It's been a long time since I've eaten Chinese food.,నేను చైనీస్ ఆహారాన్ని తిని చాలా కాలం అయ్యింది.          ,Chinese food తిని చాలా కాలం అయ్యింది.,Chinese food tinitene chala kalam ayindi.
I don't know how to read between the lines.,పంక్తుల మధ్య ఎలా చదవాలో నాకు తెలియదు.          ,Lines మధ్య చదవటం నాకు రాదు.,Lines madhya chadavadam naaku raadu.
Three passengers were hospitalized.,ముగ్గురు ప్రయాణికులు ఆసుపత్రి పాలయ్యారు.          ,ముగ్గురు passengers hospital కి వెళ్ళారు.,Mugguru passengers hospital ki vellaru.
Tom sang.,టామ్ పాడాడు.          ,Tom పాడాడు.,Tom paadadu.
Fight like men.,పురుషుల మాదిరిగా పోరాడండి.          ,Men లా fight చేయండి.,Men la fight cheyandi.
I think that's not true.,అది నిజం కాదని నేను భావిస్తున్నాను.          ,అది true కాదు అని నేను అనుకుంటున్నాను.,Adi true kadu ani nenu anukuntunnanu.
They are very kind.,వారు చాలా దయగలవారు.          ,వాళ్లు చాలా kind.,Vallu chala kind.
Be brief  please.,దయచేసి క్లుప్తంగా ఉండండి.         ,దయచేసి brief గా చెప్పండి.,Dayachesi brief ga cheppandi.
I really want to know what's going on.,నేను నిజంగా ఏమి జరుగుతుందో తెలుసుకోవాలనుకుంటున్నాను.          ,నాకు నిజంగా ఏమి జరుగుతుందో తెలుసుకోవాలని ఉంది.,Naaku nijamga emi jarugutundo telusukovalani undi.
We have a recommendation.,మాకు సిఫార్సు ఉంది.          ,మాకు ఒక recommendation ఉంది.,Maaku oka recommendation undi.
He thinks he can prove it.,అతను దానిని నిరూపించగలడని అతను భావిస్తాడు.          ,అతను prove చేయగలనని అనుకుంటున్నాడు.,Atanu prove cheyagaladani anukuntunnadu.
I think you need to spend more time with your family.,మీరు మీ కుటుంబంతో ఎక్కువ సమయం గడపాలని అనుకుంటున్నాను.          ,నువ్వు నీ family తో ఎక్కువ time spend చేయాలి అని అనుకుంటున్నాను.,Nuvvu nee family tho ekkuva time spend cheyali ani anukuntunnanu.
Tom said that he paid thirty dollars for this book.,ఈ పుస్తకం కోసం ముప్పై డాలర్లు చెల్లించానని టామ్ చెప్పాడు.          ,ఈ book కి 30 dollars pay చేశానని Tom అన్నాడు.,Ee book ki 30 dollars pay chesanu ani Tom annadu.
I need to make a lot of changes.,నేను చాలా మార్పులు చేయాలి.          ,నేను చాలా changes చేయాలి.,Nenu chala changes cheyali.
They didn't get anything done.,వారు ఏమీ చేయలేదు.          ,వాళ్లు ఏమీ చేయలేదు.,Vallu emi cheyaledu.
I'm sure that he will take part in the contest.,అతను పోటీలో పాల్గొంటాడని నాకు ఖచ్చితంగా తెలుసు.          ,అతను contest లో participate చేస్తాడని నాకు ఖచ్చితంగా తెలుసు.,Atanu contest lo participate chestadani naaku khachitamga telusu.
I suspect that Tom is allergic to peanuts.,టామ్ వేరుశెనగకు అలెర్జీ అని నేను అనుమానిస్తున్నాను.          ,Tom peanuts కి allergic అని నేను suspect చేస్తున్నాను.,Tom peanuts ki allergic ani nenu suspect chesanu.
Tom makes a lot of errors.,టామ్ చాలా లోపాలు చేస్తాడు.          ,Tom చాలా errors చేస్తాడు.,Tom chala errors chestadu.
Tom noticed that.,టామ్ అది గమనించాడు.          ,Tom అది notice చేశాడు.,Tom adi notice chesadu.
On hearing the news  everybody became quiet.,ఈ వార్త వినగానే అందరూ నిశ్శబ్దమయ్యారు.         ,News విన్న వెంటనే అందరూ silent అయ్యారు.,News vinnavente andaroo silent ayyaru.
Tell Tom this is unacceptable.,టామ్‌కు ఇది ఆమోదయోగ్యం కాదని చెప్పండి.          ,Tom కి ఇది unacceptable అని చెప్పు.,Tom ki idi unacceptable ani cheppu.
I'm a teacher  too.,నేను కూడా టీచర్‌ని.         ,నేను కూడా teacher ని.,Nenu kuda teacher ni.
Germany and Japan were defeated.,జర్మనీ  జపాన్ ఓడిపోయాయి.         ,Germany మరియు Japan defeat అయ్యాయి.,Germany mariyu Japan defeat ayyayi.
I thought Tom was interested.,టామ్ ఆసక్తి కలిగి ఉన్నాడని నేను అనుకున్నాను.          ,Tom interested అని నేను అనుకున్నాను.,Tom interested ani nenu anukunnanu.
Tom isn't ready to be a father.,టామ్ తండ్రి కావడానికి సిద్ధంగా లేడు.          ,Tom father అవ్వడానికి ready కాదు.,Tom father avvadaniki ready kadu.
Tom didn't have a fever.,టామ్‌కు జ్వరం లేదు.          ,Tom కి fever లేదు.,Tom ki fever ledu.
We were ordered to do that.,మాకు అలా చేయమని ఆదేశించారు.          ,మాకు అది చేయమని order ఇచ్చారు.,Maaku adi cheyamani order icharu.
Should we try again?,మనం మళ్ళీ ప్రయత్నించాలా?          ,మనం మళ్ళీ try చేద్దామా?,Manam malli try cheddama?
There is a solution though.,అయితే ఒక పరిష్కారం ఉంది.          ,ఒక solution ఉంది.,Oka solution undi.
He was surprised by the sudden appearance of his friend.,తన స్నేహితుడు అకస్మాత్తుగా కనిపించడం చూసి అతను ఆశ్చర్యపోయాడు.          ,Friend అకస్మాత్తుగా కనిపించడం చూసి అతను surprise అయ్యాడు.,Friend akasmattuga kanipinchadam chusi atanu surprise ayyadu.
Everyone got off the bus.,అందరూ బస్సు దిగారు.          ,అందరూ bus నుండి దిగారు.,Andaru bus nundi digaru.
He was thrown in prison for robbery.,దోపిడీకి జైలులో పడవేయబడ్డాడు.          ,Robbery కి అతన్ని jail లో పెట్టారు.,Robbery ki atani jail lo pettaru.
Tom isn't going to apologize.,టామ్ క్షమాపణ చెప్పడం లేదు.          ,Tom apologize చేయడం లేదు.,Tom apologize cheyadam ledu.
Tom immediately called the police.,టామ్ వెంటనే పోలీసులను పిలిచాడు.          ,Tom వెంటనే police ని call చేశాడు.,Tom ventane police ni call chesadu.
I've caught a terrible cold.,నేను భయంకరమైన చలిని పట్టుకున్నాను.          ,నాకు terrible cold వచ్చింది.,Naaku terrible cold vachindi.
They didn't see it.,వారు చూడలేదు.          ,వాళ్లు అది చూడలేదు.,Vallu adi choodaledu.
Is that your bicycle?,అది మీ సైకిల్నా?          ,అది నీ bicycle నా?,Adi nee bicycle na?
Take a short walk every day.,ప్రతి రోజు ఒక చిన్న నడక తీసుకోండి.          ,ప్రతి రోజు short walk తీసుకో.,Prati roju short walk teesuko.
I'd hate to be in Tom's shoes.,నేను టామ్ యొక్క బూట్లు ఉండటానికి ఇష్టపడను.          ,నేను Tom situation లో ఉండాలని అనుకోవడం లేదు.,Nenu Tom situation lo undalani anukovadam ledu.
He is eager to go abroad.,అతను విదేశాలకు వెళ్ళడానికి ఆసక్తిగా ఉన్నాడు.          ,అతను abroad వెళ్ళాలని eager గా ఉన్నాడు.,Atanu abroad vellalani eager ga unnadu.
I told Tom the reason why I wouldn't be able to go.,నేను వెళ్ళలేకపోవడానికి కారణం టామ్‌కు చెప్పాను.          ,నేను ఎందుకు వెళ్ళలేను అనే reason Tom కి చెప్పాను.,Nenu enduku vellalenu ani reason Tom ki cheppanu.
What time will dinner be served?,విందు ఏ సమయంలో వడ్డిస్తారు?          ,Dinner ఏ time లో serve చేస్తారు?,Dinner ye time lo serve chestaru?
Ask Tom where he put his keys.,టామ్ తన కీలను ఎక్కడ ఉంచాడో అడగండి.          ,Tom తన keys ఎక్కడ పెట్టాడో అడుగు.,Tom tana keys ekkada pettado adugu.
I'm soaking wet.,నేను తడిగా నానబడ్డాను.          ,నేను completely wet అయ్యాను.,Nenu completely wet ayanu.
He talked about music.,సంగీతం గురించి మాట్లాడారు.          ,అతను music గురించి మాట్లాడాడు.,Atanu music gurinchi matladadu.
Tom wants to buy my old car.,టామ్ నా పాత కారు కొనాలనుకుంటున్నాడు.          ,Tom నా old car కొనాలని అనుకుంటున్నాడు.,Tom naa old car konalani anukutunnadu.
How can we help Tom?,టామ్‌కు మేము ఎలా సహాయం చేయగలం?          ,మనం Tom కి ఎలా help చేయగలం?,Manam Tom ki ela help cheyagalamu?
This is how we've got to know each other.,ఈ విధంగా మేము ఒకరినొకరు తెలుసుకున్నాము.          ,ఈ విధంగా మేము ఒకరినొకరు తెలుసుకున్నాము.,Ee vidhanga memu okarinokaru telusukunnamu.
Is it true that Tom wasn't able to help Mary?,టామ్ మేరీకి సహాయం చేయలేకపోయాడనేది నిజమేనా?          ,Tom Mary కి help చేయలేకపోయాడనేది నిజమా?,Tom Mary ki help cheyalekapoyadani nijama?
How did you get your nickname?,మీ మారుపేరు ఎలా వచ్చింది?          ,నీ nickname ఎలా వచ్చింది?,Nee nickname ela vachindi?
Tom lost his key.,టామ్ తన కీని కోల్పోయాడు.          ,Tom తన key పోగొట్టుకున్నాడు.,Tom tana key pogottukunnadu.
Don't forget to take a camera.,కెమెరా తీయడం మర్చిపోవద్దు.          ,Camera తీసుకోవడం మర్చిపోకు.,Camera theeyadam marchipoku.
You never told me that you didn't know how to speak French.,మీకు ఫ్రెంచ్ మాట్లాడటం తెలియదని మీరు ఎప్పుడూ నాకు చెప్పలేదు.          ,నీకు French మాట్లాడటం రాదని నువ్వు నాకు ఎప్పుడూ చెప్పలేదు.,Neeku French matladadam raadani nuvvu naaku eppudu cheppalevu.
Thanks a lot for helping me today.,ఈ రోజు నాకు సహాయం చేసినందుకు చాలా ధన్యవాదాలు.          ,ఈ రోజు నాకు help చేసినందుకు thanks a lot.,Ee roju naaku help chesinanduku thanks a lot.
I'm still eating.,నేను ఇంకా తింటున్నాను.          ,నేను ఇంకా తింటున్నాను.,Nenu inka tintunnanu.
That's the best one.,అది ఉత్తమమైనది.          ,అది best one.,Adi best one.
Leave us alone.,మమ్మల్ని ఒంటరిగా వదిలేయండి.          ,మమ్మల్ని alone గా వదిలేయండి.,Mammalni alone ga vadileyandi.
I miss the army.,నేను సైన్యాన్ని కోల్పోయాను.          ,నేను army ని miss చేస్తున్నాను.,Nenu army ni miss chestunnanu.
She reads after lunch.,ఆమె భోజనం తర్వాత చదువుతుంది.          ,ఆమె lunch తర్వాత చదువుతుంది.,Ame lunch tarvata chadutondi.
You did it!,మీరు సాధించారు!          ,నువ్వు achieve చేశావు!,Nuvvu achieve chesavu!
He seems not to be cut out for teaching.,అతను బోధన కోసం కటౌట్ చేయబడలేదు.          ,Teaching కి అతను suitable కాడు.,Teaching ki atanu suitable kaadu.
Tom has to leave early.,టామ్ ముందుగానే బయలుదేరాలి.          ,Tom early వెళ్ళాలి.,Tom early vellaali.
I saw Tom at the beach last weekend.,నేను గత వారాంతంలో బీచ్ వద్ద టామ్‌ను చూశాను.          ,గత weekend నేను beach లో Tom ని చూశాను.,Gata weekend nenu beach lo Tom ni chusanu.
We were just about to call you.,మేము మిమ్మల్ని పిలవబోతున్నాము.          ,మేము నిన్ను call చేయబోతున్నాం.,Memu ninnu call cheyabotunnamu.
This is a top secret mission.,ఇది అగ్ర రహస్య మిషన్.          ,ఇది top secret mission.,Idi top secret mission.
Despite everything she said to me  I can't stop thinking about her.,ఆమె నాతో చెప్పినవన్నీ ఉన్నప్పటికీ  నేను ఆమె గురించి ఆలోచించడం ఆపలేను.        ,"Despite అన్నీ ఆమె cheppina, నేను ఆమె gurinchi ఆలోచించడం ఆపలేను.",Aame naatho cheppinavanni unnappatiki nenu aame gurinchi alochinchadam aapalen.
Let's get together.,ఒకచోట చేద్దాం.          ,Let’s ఒకసారి కలుద్దాం.,Okachota cheddam.
The zipper is stuck.,జిప్పర్ ఇరుక్కుపోయింది.          ,Zipper stuck అయిపోయింది.,Zipper irukku poyindi.
I have heard the story.,నేను కథ విన్నాను.          ,నేను ఆ story విన్నాను.,Nenu katha vinnanu.
Tom was on duty at the time.,టామ్ ఆ సమయంలో డ్యూటీలో ఉన్నాడు.          ,అప్పుడే Tom duty లో ఉన్నాడు.,Tom aa samayamlo duty lo unnadu.
I sent Tom a message.,నేను టామ్‌కు సందేశం పంపాను.          ,నేను Tom కి ఒక message పంపాను.,Nenu Tom ki oka message pampanu.
Tom doesn't think there is any advantage of doing it the way you suggest we do it.,మేము దీన్ని సూచించిన విధంగా చేయడం వల్ల ఏదైనా ప్రయోజనం ఉందని టామ్ అనుకోడు.          ,Tom అనుకోడు మేము suggest చేసిన విధానం లో advantage ఉందని.,Memu suggest chesina vidhanam lo cheyadam valla advantage undadani Tom anukodu.
Why do you want such an old car?,ఇంత పాత కారు ఎందుకు కావాలి?          ,ఎందుకు నీకు అంత old car కావాలి?,Enduku niku anta old car kavali?
I'm sad without you.,మీరు లేకుండా నేను బాధపడుతున్నాను.          ,నువ్వు లేకుండా నేను sad గా feel అవుతున్నాను.,Nuvvu lekunda nenu baadha padutunnanu.
Sometimes  I sleep on the couch.,కొన్నిసార్లు  నేను మంచం మీద పడుకుంటాను.        ,Sometimes నేను couch మీద sleep అవుతాను.,Konni saarlu nenu couch meeda padukuntanu.
Tom was out of town last weekend.,టామ్ గత వారాంతంలో పట్టణానికి దూరంగా ఉన్నాడు.          ,Last weekend Tom town లో లేడు.,Tom gata vaaranthamlo town ki dooramga unnadu.
Ask Tom what to do next.,తరువాత ఏమి చేయాలో టామ్ను అడగండి.          ,Next ఏమి చేయాలో Tom ని అడుగు.,Next emi cheyalo Tom ni adugu.
Tom is standing near Mary.,టామ్ మేరీ దగ్గర నిలబడి ఉన్నాడు.          ,Tom Mary దగ్గర నిలబడి ఉన్నాడు.,Tom Mary daggara nilabadi unnadu.
I thought Tom dumped Mary a month ago.,టామ్ ఒక నెల క్రితం మేరీని దింపాడని అనుకున్నాను.          ,ఒక నెల క్రితం Mary ని Tom dump చేశాడు అని అనుకున్నాను.,Tom oka nelakritham Mary ni dump chesadu ani anukunnanu.
I'm not in love.,నేను ప్రేమలో లేను.          ,నేను love లో లేను.,Nenu love lo ledu.
He shows warm affection for his children.,అతను తన పిల్లలపై వెచ్చని ప్రేమను చూపిస్తాడు.          ,అతను తన kids కి warm affection చూపిస్తాడు.,Atanu tana pillalapai warm affection chupistadu.
Tom hated school.,టామ్ పాఠశాలను అసహ్యించుకున్నాడు.          ,Tom school ని hate చేశాడు.,Tom school ni hate chesadu.
It's a surprise to me.,ఇది నాకు ఆశ్చర్యం కలిగిస్తుంది.          ,ఇది నాకు surprise.,Idi naaku surprise ga undi.
I don't understand what this means.,దీని అర్థం నాకు అర్థం కాలేదు.          ,ఇది ఏమి అని నేను అర్థం చేసుకోలేకపోయాను.,Idi em artham ani naaku ardham kaaledu.
The youngest daughter was particularly beautiful.,చిన్న కుమార్తె ముఖ్యంగా అందంగా ఉంది.          ,చిన్న daughter especially అందంగా ఉంది.,Chinna kumarthe pratyekanga andamga undi.
I didn't tell Tom that the picnic had been canceled.,పిక్నిక్ రద్దు చేయబడిందని నేను టామ్కు చెప్పలేదు.          ,Picnic cancel అయిందని నేను Tom కి చెప్పలేదు.,Picnic cancel ayindani nenu Tom ki cheppaledu.
I can't wait forever.,నేను ఎప్పటికీ వేచి ఉండలేను.          ,నేను forever wait చేయను.,Nenu forever wait cheyaledu.
Her voice sounds better than yours.,ఆమె స్వరం మీ కంటే మెరుగ్గా ఉంది.          ,ఆమె voice నీకన్నా better గా ఉంది.,Aame voice neevu kanna better ga undi.
Not everybody can do that.,ప్రతి ఒక్కరూ అలా చేయలేరు.          ,అందరూ అలా చేయలేరు.,Andaru ala cheyaleru.
Tom lives in a luxurious home.,టామ్ విలాసవంతమైన ఇంటిలో నివసిస్తున్నాడు.          ,Tom luxurious home లో ఉంటాడు.,Tom luxurious home lo untadu.
I know that Tom is almost ready.,టామ్ దాదాపు సిద్ధంగా ఉన్నాడని నాకు తెలుసు.          ,Tom almost ready అని నాకు తెలుసు.,Tom almost ready ani naaku telusu.
Tom announced that he was quitting football.,టామ్ తాను ఫుట్‌బాల్‌ను విడిచిపెడుతున్నట్లు ప్రకటించాడు.          ,Tom football వదిలేశాడు అని announce చేశాడు.,Tom football vadilestunnadu ani announce chesadu.
I sat at the bar with Tom.,నేను టామ్‌తో కలిసి బార్ వద్ద కూర్చున్నాను.          ,నేను Tom తో bar లో కూర్చున్నాను.,Nenu Tom tho bar daggara kuchunnanu.
Cherries are red.,చెర్రీస్ ఎరుపు.          ,Cherries red color లో ఉంటాయి.,Cherries red color lo untayi.
We were just about to take a break.,మేము విరామం తీసుకోబోతున్నాము.          ,మేము just break తీసుకోబోతున్నాం.,Memu break thisukobothunnamu.
I prefer speaking in French.,నేను ఫ్రెంచ్ భాషలో మాట్లాడటం ఇష్టపడతాను.          ,నేను prefer చేస్తాను French లో మాట్లాడటం.,Nenu French lo maatladatam prefer chestanu.
Tom wanted to learn how to read.,టామ్ ఎలా చదవాలో నేర్చుకోవాలనుకున్నాడు.          ,Tom ఎలా చదవాలో నేర్చుకోవాలని అనుకున్నాడు.,Tom ela chadavalo nerchukovalani anukunnadu.
It's starting now.,ఇది ఇప్పుడు ప్రారంభమవుతుంది.          ,ఇది ఇప్పుడే start అవుతుంది.,Idi ippudu start avutundi.
He is pigeon-toed.,అతను పావురం-బొటనవేలు.          ,అతను pigeon-toed.,Atanu pigeon-toed ga unnadu.
I received your note.,నేను మీ నోట్ అందుకున్నాను.          ,నేను నీ note పొందాను.,Nenu nee note pondanu.
Is that a dog?,అది కుక్కలా?          ,అది dog ఆ?,Adi oka doga?
We were just playing hide-and-seek.,మేము ఇప్పుడే దాచుకుంటాము.          ,మేము just hide-and-seek ఆడుతున్నాం.,Memu ippude hide-and-seek aadutunnamu.
Tom's answer was very evasive.,టామ్ యొక్క సమాధానం చాలా తప్పించుకునేది.          ,Tom answer చాలా evasive గా ఉంది.,Tom answer chala evasive ga undi.
Tom wouldn't answer my question.,టామ్ నా ప్రశ్నకు సమాధానం ఇవ్వడు.          ,Tom నా question కి answer ఇవ్వలేదు.,Tom naa question ki answer ivvaledu.
She cooked her husband an apple pie.,ఆమె తన భర్తకు ఆపిల్ పై వండుకుంది.          ,ఆమె తన husband కి apple pie cook చేసింది.,Aame tana husband ki apple pie cook chesindi.
He is lacking in experience.,అతనికి అనుభవం లోపించింది.          ,అతనికి experience లేదు.,Ataniki experience ledu.
You don't have any proof.,మీకు ఎటువంటి రుజువు లేదు.          ,నీకు proof లేదు.,Meeku proof ledu.
Tom escaped to Australia.,టామ్ ఆస్ట్రేలియాకు పారిపోయాడు.          ,Tom Australia కి escape అయ్యాడు.,Tom Australia ki escape ayadu.
That's one of my favorite words.,అది నాకు ఇష్టమైన పదాలలో ఒకటి.          ,అది నా favorite words లో ఒకటి.,Adi naaku favorite words lo okati.
So what do I do?,నేను ఏమి చేయాలి?          ,So నేను ఏమి చేయాలి?,So nenu emi cheyali?
The subway entrance is on the corner.,సబ్వే ప్రవేశం మూలలో ఉంది.          ,Subway entrance corner లో ఉంది.,Subway entrance corner lo undi.
Tom didn't do what he needed to do.,టామ్ అతను చేయవలసినది చేయలేదు.          ,Tom తన చేయాల్సిన పని చేయలేదు.,Tom tanaki avasaramaina pani cheyaledu.
